time,tensor,correlator
2.240000,-2.266054e-03,3.072009e-07
2.272000,-1.663767e-03,2.344681e-07
2.304000,-1.472445e-03,1.558211e-07
2.336000,2.218183e-03,8.637251e-08
2.368000,1.502193e-03,2.585958e-08
2.400000,2.147930e-03,1.269671e-08
2.432000,3.499275e-03,-7.531021e-10
2.464000,5.285689e-03,-9.563133e-09
2.496000,4.851440e-03,-1.773867e-08
2.528000,5.096865e-03,-3.439786e-08
2.560000,4.813037e-03,-5.509433e-08
2.592000,6.721207e-03,-7.332779e-08
2.624000,7.186749e-03,-9.863492e-08
2.656000,9.508417e-03,-1.068560e-07
2.688000,8.431512e-03,-1.280202e-07
2.720000,7.694110e-03,-1.596096e-07
2.752000,8.475173e-03,-1.906628e-07
2.784000,6.865083e-03,-2.220122e-07
2.816000,5.729770e-03,-2.237696e-07
2.848000,5.675845e-03,-2.220509e-07
2.880000,5.621153e-03,-2.112421e-07
2.912000,5.025618e-03,-2.016070e-07
2.944000,5.839661e-03,-2.013952e-07
2.976000,3.843335e-03,-2.207642e-07
3.008000,4.227002e-03,-2.374218e-07
3.040000,5.364730e-03,-2.517140e-07
3.072000,5.844426e-03,-2.804446e-07
3.104000,6.394282e-03,-3.067966e-07
3.136000,5.501616e-03,-3.406434e-07
3.168000,7.303190e-03,-3.541264e-07
3.200000,6.381200e-03,-3.810357e-07
3.232000,4.210550e-03,-3.871489e-07
3.264000,2.987949e-03,-3.763364e-07
3.296000,2.590142e-04,-3.665578e-07
3.328000,-4.460474e-04,-3.781927e-07
3.360000,-2.986607e-03,-3.772756e-07
3.392000,-4.146148e-03,-3.798497e-07
3.424000,-2.839330e-03,-3.643309e-07
3.456000,-2.474958e-03,-3.373003e-07
3.488000,-3.820492e-03,-3.173290e-07
3.520000,-5.086455e-03,-2.840057e-07
3.552000,-5.903720e-03,-2.704297e-07
3.584000,-5.259077e-03,-2.453216e-07
3.616000,-4.987840e-03,-2.271571e-07
3.648000,-6.167656e-03,-2.233535e-07
3.680000,-5.215582e-03,-2.303480e-07
3.712000,-6.760134e-03,-2.448034e-07
3.744000,-3.931539e-03,-2.479506e-07
3.776000,-4.527326e-03,-2.415467e-07
3.808000,-2.897834e-03,-2.361020e-07
3.840000,-2.195234e-03,-2.196852e-07
3.872000,-2.221767e-03,-1.995576e-07
3.904000,-2.677943e-03,-2.019090e-07
3.936000,-2.404662e-03,-1.960868e-07
3.968000,-5.176049e-03,-1.977066e-07
4.000000,-4.875985e-03,-1.976698e-07
4.032000,-3.695147e-03,-1.938566e-07
4.064000,-4.104949e-03,-2.167804e-07
4.096000,-8.317532e-04,-2.258588e-07
4.128000,1.950274e-04,-2.377696e-07
4.160000,3.547675e-04,-2.553080e-07
4.192000,7.293463e-04,-2.754197e-07
4.224000,7.441053e-04,-2.913409e-07
4.256000,1.075279e-03,-3.130221e-07
4.288000,-2.471710e-04,-3.348916e-07
4.320000,-5.634659e-04,-3.415268e-07
4.352000,1.604318e-03,-3.361788e-07
4.384000,4.750333e-03,-3.398504e-07
4.416000,5.826893e-03,-3.401775e-07
4.448000,5.694946e-03,-3.386448e-07
4.480000,8.364834e-03,-3.495062e-07
4.512000,9.299077e-03,-3.704861e-07
4.544000,1.091745e-02,-3.632238e-07
4.576000,1.138520e-02,-3.832253e-07
4.608000,9.803072e-03,-4.165507e-07
4.640000,7.733455e-03,-4.377902e-07
4.672000,8.599413e-03,-4.410340e-07
4.704000,8.832741e-03,-4.410603e-07
4.736000,8.033557e-03,-4.257070e-07
4.768000,8.550583e-03,-4.003228e-07
4.800000,9.853083e-03,-3.738296e-07
4.832000,8.364873e-03,-3.309674e-07
4.864000,6.935829e-03,-2.904896e-07
4.896000,4.286222e-03,-2.677453e-07
4.928000,4.090607e-03,-2.529657e-07
4.960000,6.232397e-03,-2.323109e-07
4.992000,7.871414e-03,-2.155712e-07
5.024000,9.995678e-03,-2.030586e-07
5.056000,1.031895e-02,-2.032765e-07
5.088000,9.248545e-03,-1.946825e-07
5.120000,7.290771e-03,-1.800829e-07
5.152000,5.483823e-03,-1.587465e-07
5.184000,5.792992e-03,-1.504881e-07
5.216000,5.950465e-03,-1.521295e-07
5.248000,4.701112e-03,-1.581429e-07
5.280000,4.694103e-03,-1.685795e-07
